2002-08-11-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_841 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_516 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_265 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-15-big-img_1243 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_223 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_236 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-22-big-img_309 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-20-big-img_656 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_412 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16462 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_431 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_793 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-15-big-img_877 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_282 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_529 : pred total 9, gt total 9, recall 8, miss 1, FP 1
2002-08-24-big-img_613 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-17-big-img_700 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-24-big-img_394 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_521 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_560 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_966 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-25-big-img_448 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_782 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_296 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16755 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3552 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15823 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_193 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-21-big-img_159 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_564 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_300 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-19-big-img_269 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-13-big-img_676 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-28-big-img_57 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3318 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_218 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_898 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_109 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-19-big-img_854 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-23-big-img_311 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-14-big-img_318 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_523 : pred total 7, gt total 7, recall 4, miss 3, FP 3
2002-07-21-big-img_678 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_690 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-28-big-img_19503 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_251 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_672 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_663 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_148 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-09-02-big-img_15580 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_778 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_565 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_374 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_1018 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_474 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_33 : pred total 4, gt total 6, recall 4, miss 2, FP 0
2002-08-02-big-img_1190 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-08-big-img_864 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_1071 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-30-big-img_18103 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_533 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_650 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2002-07-25-big-img_108 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-07-26-big-img_81 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_543 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_521 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-13-big-img_434 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-08-26-big-img_674 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-06-big-img_2932 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1262 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_201 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_673 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15988 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-07-29-big-img_1306 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_1072 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18232 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3711 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_775 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_16 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_630 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_695 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-14-big-img_51 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_782 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-24-big-img_742 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-14-big-img_512 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2003-01-15-big-img_1183 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_714 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_2078 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_682 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15687 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_518 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19676 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15969 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_931 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_508 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18616 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_839 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_313 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-14-big-img_155 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-02-big-img_1105 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_53 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_469 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_502 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_575 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_138 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_579 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-19-big-img_352 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_762 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_588 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_981 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_447 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-09-01-big-img_16151 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_769 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_461 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_240 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-09-02-big-img_15220 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_408 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-09-02-big-img_15496 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-29-big-img_758 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19392 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_2723 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-08-31-big-img_17752 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_469 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_515 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15551 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_462 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_613 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-22-big-img_61 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_171 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_177 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_105 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_1017 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-22-big-img_106 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-27-big-img_542 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_665 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_595 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-04-big-img_657 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_19002 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_550 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_662 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_425 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2002-08-30-big-img_18528 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_611 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_849 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1655 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_638 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_732 : pred total 3, gt total 3, recall 2, miss 1, FP 1
2003-01-01-big-img_496 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_713 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-08-big-img_109 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-27-big-img_1008 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_559 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_699 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17702 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_1013 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2002-08-01-big-img_2027 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_1001 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_210 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_2087 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_199 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_48 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_727 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-09-big-img_249 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_632 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-22-big-img_620 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-01-big-img_457 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3223 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_240 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_797 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_430 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_615 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-12-big-img_28 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_220 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_89 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_357 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_590 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-13-big-img_525 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_818 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-02-big-img_7 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_636 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_1122 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_810 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-20-big-img_888 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_3 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_451 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15787 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-31-big-img_281 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3274 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-07-big-img_1254 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_27 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1366 : pred total 5, gt total 6, recall 5, miss 1, FP 0
2002-07-30-big-img_182 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19690 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_68 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_754 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2002-07-30-big-img_540 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_20063 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-14-big-img_471 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_615 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_186 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-25-big-img_150 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-27-big-img_626 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_225 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_1252 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_367 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_582 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_572 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_428 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_639 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19245 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_321 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_662 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_1033 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-17-big-img_867 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-22-big-img_652 : pred total 4, gt total 5, recall 4, miss 1, FP 0
2003-01-14-big-img_224 : pred total 5, gt total 10, recall 3, miss 7, FP 2
2002-08-18-big-img_49 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_46 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-31-big-img_18021 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_151 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_540 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-08-25-big-img_693 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-23-big-img_340 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-28-big-img_117 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15768 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-26-big-img_562 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_480 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_341 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-10-big-img_783 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_132 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_370 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_720 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_144 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-20-big-img_538 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1745 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_683 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_328 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-10-big-img_793 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_689 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_162 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-17-big-img_411 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-31-big-img_361 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_289 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-08-big-img_254 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_996 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_785 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_511 : pred total 7, gt total 10, recall 7, miss 3, FP 0
2002-08-06-big-img_2614 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-29-big-img_18733 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-17-big-img_78 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_378 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17947 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-26-big-img_88 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-07-30-big-img_558 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_67 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_325 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_1357 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_391 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_307 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_219 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_807 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-23-big-img_543 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18620 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_769 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_503 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_78 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_1036 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-09-big-img_58 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_616 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_464 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_576 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-07-22-big-img_273 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_470 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-29-big-img_329 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_1086 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_353 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15275 : pred total 1, gt total 3, recall 1, miss 2, FP 0
2003-01-17-big-img_555 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_212 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1692 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2003-01-15-big-img_600 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_825 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_68 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-10-big-img_719 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_636 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-29-big-img_325 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-21-big-img_515 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_705 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2003-01-13-big-img_818 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_486 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_141 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-07-22-big-img_303 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_393 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_963 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_1215 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_674 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_690 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_637 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_841 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_71 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_596 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_864 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-18-big-img_293 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_657 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-15-big-img_411 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_348 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3157 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_663 : pred total 2, gt total 4, recall 2, miss 2, FP 0
2003-01-13-big-img_654 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_433 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-30-big-img_18200 : pred total 3, gt total 6, recall 3, miss 3, FP 0
2002-08-12-big-img_226 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2003-01-16-big-img_491 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_666 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-19-big-img_576 : pred total 6, gt total 6, recall 5, miss 1, FP 1
2003-01-15-big-img_776 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_899 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-19-big-img_397 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_44 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_762 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_982 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15234 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_556 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_410 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_386 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-07-19-big-img_690 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3052 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-14-big-img_219 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_273 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_752 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_184 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_743 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-23-big-img_338 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_1055 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3405 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2003-01-15-big-img_17 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_141 : pred total 1, gt total 4, recall 1, miss 3, FP 0
2002-08-14-big-img_549 : pred total 1, gt total 1, recall 1, miss 0, FP 0
